ORG_NAME,Part of OrgUnit,Standard Geographical Classification,ORG_UNIT,YEAR,Population,SOURCE,Data Source ID,ENERGY_TYPE,SUB_SECTOR,CONNECTION_TOTAL,CONSUMPTION_TOTAL,kWh,GJ,Emissions (tonnes CO2e),Emissions (tonnes CO2e) per capita,Unnamed: 13,sort_key,ORG_Block
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2022,35463,BC Hydro,11080,ELEC,Res,17311,226116611,226116611,814020,2600,0.073,2022ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2022,35463,BC Hydro,11080,ELEC,CSMI,2663,153644797,153644797,553121,1767,0.050,2022ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2022,35463,BC Hydro,11080,ELEC,MIXED,16,5559086,5559086,20013,64,0.002,2022ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2021,34918,BC Hydro,10080,ELEC,Res,17083,222384860,222384860,800585,2157,0.062,2021ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2021,34918,BC Hydro,10080,ELEC,CSMI,2631,150930060,150930060,543348,1464,0.042,2021ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2021,34918,BC Hydro,10080,ELEC,MIXED,16,5777187,5777187,20798,56,0.002,2021ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2020,34292,BC Hydro,9080,ELEC,Res,16826,211115308,211115308,760015,1942,0.057,2020ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2020,34292,BC Hydro,9080,ELEC,CSMI,2581,143881255,143881255,517973,1324,0.039,2020ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2019,33838,BC Hydro,8080,ELEC,Res,16573,202715821,202715821,729777,1520,0.045,2019ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2019,33838,BC Hydro,8080,ELEC,CSMI,2556,148598977,148598977,534956,1114,0.033,2019ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2018,33158,BC Hydro,7080,ELEC,Res,16365,202299027,202299027,728276,1558,0.047,2018ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2018,33158,BC Hydro,7080,ELEC,CSMI,2515,146668843,146668843,528008,1129,0.034,2018ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2017,32628,BC Hydro,6080,ELEC,Res,16211,212852833,212852833,766270,2150,0.066,2017ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2017,32628,BC Hydro,6080,ELEC,CSMI,2517,147391434,147391434,530609,1489,0.046,2017ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2016,32198,BC Hydro,5080,ELEC,Res,16041,197238892,197238892,710060,2544,0.079,2016ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2016,32198,BC Hydro,5080,ELEC,CSMI,2493,144972653,144972653,521902,1870,0.058,2016ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2015,31649,BC Hydro,4080,ELEC,Res,15866,190843629,190843629,687037,2882,0.091,2015ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2015,31649,BC Hydro,4080,ELEC,CSMI,2450,141748054,141748054,510293,2140,0.068,2015ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2014,31437,BC Hydro,3080,ELEC,Res,15812,196842514,196842514,708633,4153,0.132,2014ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2014,31437,BC Hydro,3080,ELEC,CSMI,2442,144054245,144054245,518595,3040,0.097,2014ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2013,31271,BC Hydro,2580,ELEC,Res,15718,204319479,204319479,735550,5190,0.166,2013ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2013,31271,BC Hydro,2580,ELEC,CSMI,2440,144135683,144135683,518888,3661,0.117,2013ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2012,31373,BC Hydro,2080,ELEC,Res,15590,212254530,212254530,764116,6240,0.199,2012ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2012,31373,BC Hydro,2080,ELEC,CSMI,2440,149748824,149748824,539096,4403,0.140,2012ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2010,31661,BC Hydro,1080,ELEC,Res,15245,206774599,206774599,744389,6100,0.193,2010ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2010,31661,BC Hydro,1080,ELEC,CSMI,2376,146758820,146758820,528332,4329,0.137,2010ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2007,31356,BC Hydro,80,ELEC,Res,14801,211920205,211920205,762913,6252,0.199,2007ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2007,31356,BC Hydro,80,ELEC,CSMI,2295,147761141,147761141,531940,4359,0.139,2007ELECkWh,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2022,35463,Fortis Gas,11020,NG,Res,4055,229477,63743709,229477,11525,0.325,2022NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2022,35463,Fortis Gas,11020,NG,CSMI,404,976610,271280522,976610,49047,1.383,2022NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2021,34918,Fortis Gas,10020,NG,Res,3974,218319,60644228,218319,10970,0.314,2021NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2021,34918,Fortis Gas,10020,NG,CSMI,396,843722,234367172,843722,42395,1.214,2021NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2020,34292,Fortis Gas,9020,NG,Res,3761,197736,54926777,197736,9956,0.290,2020NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2020,34292,Fortis Gas,9020,NG,CSMI,393,553109,153641333,553109,27849,0.812,2020NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2019,33838,Fortis Gas,8020,NG,Res,3575,184461,51239241,184461,9288,0.274,2019NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2019,33838,Fortis Gas,8020,NG,CSMI,386,502059,139460844,502059,25279,0.747,2019NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2018,33158,Fortis Gas,7020,NG,Res,3384,168624,46840042,168624,8490,0.256,2018NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2018,33158,Fortis Gas,7020,NG,CSMI,373,546346,151762857,546346,27509,0.830,2018NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2017,32628,Fortis Gas,6020,NG,Res,3157,173023,48061873,173023,8715,0.267,2017NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2017,32628,Fortis Gas,6020,NG,CSMI,364,745965,207212453,745965,37574,1.152,2017NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2016,32198,Fortis Gas,5020,NG,Res,2992,143957,39987954,143957,7202,0.224,2016NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2016,32198,Fortis Gas,5020,NG,CSMI,357,697395,193720963,697395,34891,1.084,2016NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2015,31649,Fortis Gas,4020,NG,Res,2889,127940,35538764,127940,6358,0.201,2015NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2015,31649,Fortis Gas,4020,NG,CSMI,354,556351,154541895,556351,27650,0.874,2015NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2014,31437,Fortis Gas,3020,NG,Res,2812,150212,41725456,150212,7408,0.236,2014NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2014,31437,Fortis Gas,3020,NG,CSMI,352,460533,127925847,460533,22713,0.722,2014NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2013,31271,Fortis Gas,2520,NG,Res,2719,152792,42442282,152792,7553,0.242,2013NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2013,31271,Fortis Gas,2520,NG,CSMI,346,484739,134649840,484739,23961,0.766,2013NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2012,31373,Fortis Gas,2020,NG,Res,2691,160436,44565451,160436,7911,0.252,2012NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2012,31373,Fortis Gas,2020,NG,CSMI,332,509053,141403553,509053,25101,0.800,2012NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2010,31661,Fortis Gas,1020,NG,Res,2583,138395,38443058,138395,6876,0.217,2010NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2010,31661,Fortis Gas,1020,NG,CSMI,312,719467,199852016,719467,35743,1.129,2010NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2007,31356,Fortis Gas,20,NG,Res,4260,260223,72284167,260223,12928,0.412,2007NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2007,31356,Fortis Gas,20,NG,CSMI,321,1104035,306676294,1104035,54849,1.749,2007NGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2022,35463,Fortis RNG,11020,RNG,Res,31,296,82250,296,0,0.000,2022RNGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2022,35463,Fortis RNG,11020,RNG,CSMI,0,0,0,0,0,0.000,2022RNGGJ,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2022,35463,Estimate-Wood,11190,WOOD,Res,1,151804,42167868,151804,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2021,34918,Estimate-Wood,11190,WOOD,Res,1,150404,41778831,150404,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2020,34292,Estimate-Wood,11190,WOOD,Res,1,153150,42541713,153150,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2019,33838,Estimate-Wood,11190,WOOD,Res,1,141961,39433551,141961,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2018,33158,Estimate-Wood,11190,WOOD,Res,1,140592,39053393,140592,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2017,32628,Estimate-Wood,11190,WOOD,Res,1,149157,41432607,149157,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2016,32198,Estimate-Wood,11190,WOOD,Res,1,119529,33202618,119529,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2015,31649,Estimate-Wood,11190,WOOD,Res,1,102807,28557554,102807,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2014,31437,Estimate-Wood,11190,WOOD,Res,1,120389,33441336,120389,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2013,31271,Estimate-Wood,11190,WOOD,Res,1,131035,36398641,131035,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2012,31373,Estimate-Wood,11190,WOOD,Res,1,142337,39538002,142337,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2010,31661,Estimate-Wood,11190,WOOD,Res,1,150672,41853336,150672,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2007,31356,Estimate-Wood,11190,WOOD,Res,1,207917,57754836,207917,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2022,35463,Estimate-Heating Oil,11190,OIL,Res,1,24891,6914150,24891,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2021,34918,Estimate-Heating Oil,11190,OIL,Res,1,33228,9230097,33228,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2020,34292,Estimate-Heating Oil,11190,OIL,Res,1,34221,9505704,34221,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2019,33838,Estimate-Heating Oil,11190,OIL,Res,1,41908,11641220,41908,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2018,33158,Estimate-Heating Oil,11190,OIL,Res,1,39481,10967037,39481,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2017,32628,Estimate-Heating Oil,11190,OIL,Res,1,40786,11329434,40786,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2016,32198,Estimate-Heating Oil,11190,OIL,Res,1,48709,13530415,48709,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2015,31649,Estimate-Heating Oil,11190,OIL,Res,1,57217,15893676,57217,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2014,31437,Estimate-Heating Oil,11190,OIL,Res,1,64863,18017534,64863,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2013,31271,Estimate-Heating Oil,11190,OIL,Res,1,72871,20241956,72871,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2012,31373,Estimate-Heating Oil,11190,OIL,Res,1,80685,22412574,80685,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2010,31661,Estimate-Heating Oil,11190,OIL,Res,1,102321,28422461,102321,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2007,31356,Estimate-Heating Oil,11190,OIL,Res,1,141162,39211574,141162,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2022,35463,Estimate-Propane,11190,DPRO,Res,1,11599,3222040,11599,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2021,34918,Estimate-Propane,11190,DPRO,Res,1,11241,3122366,11241,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2020,34292,Estimate-Propane,11190,DPRO,Res,1,9459,2627401,9459,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2019,33838,Estimate-Propane,11190,DPRO,Res,1,10145,2818020,10145,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2018,33158,Estimate-Propane,11190,DPRO,Res,1,11030,3063805,11030,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2017,32628,Estimate-Propane,11190,DPRO,Res,1,5923,1645236,5923,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2016,32198,Estimate-Propane,11190,DPRO,Res,1,6029,1674587,6029,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2015,31649,Estimate-Propane,11190,DPRO,Res,1,7705,2140354,7705,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2014,31437,Estimate-Propane,11190,DPRO,Res,1,7167,1990731,7167,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2013,31271,Estimate-Propane,11190,DPRO,Res,1,10161,2822498,10161,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2012,31373,Estimate-Propane,11190,DPRO,Res,1,10352,2875428,10352,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2010,31661,Estimate-Propane,11190,DPRO,Res,1,12995,3609650,12995,W,,,0,1
Alberni-Clayoquot Regional District,British Columbia,23000,1005923,2007,31356,Estimate-Propane,11190,DPRO,Res,1,11611,3225242,11611,W,,,0,1
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2022,19243,BC Hydro,11080,ELEC,Res,9021,104114102,104114102,374811,1197,0.062,2022ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2022,19243,BC Hydro,11080,ELEC,CSMI,1079,62174900,62174900,223830,715,0.037,2022ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2022,19243,BC Hydro,11080,ELEC,MIXED,5,4336154,4336154,15610,50,0.003,2022ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2021,18938,BC Hydro,10080,ELEC,Res,8904,102879732,102879732,370367,998,0.053,2021ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2021,18938,BC Hydro,10080,ELEC,CSMI,1077,60546786,60546786,217968,587,0.031,2021ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2021,18938,BC Hydro,10080,ELEC,MIXED,5,4594513,4594513,16540,45,0.002,2021ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2020,18767,BC Hydro,9080,ELEC,Res,7,772207,772207,2780,7,0.000,2020ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2020,18767,BC Hydro,9080,ELEC,CSMI,1120,60578231,60578231,218082,557,0.030,2020ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2019,18629,BC Hydro,8080,ELEC,Res,8563,92846389,92846389,334247,696,0.037,2019ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2019,18629,BC Hydro,8080,ELEC,CSMI,1107,63525083,63525083,228690,476,0.026,2019ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2018,18523,BC Hydro,7080,ELEC,Res,8457,93449986,93449986,336420,720,0.039,2018ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2018,18523,BC Hydro,7080,ELEC,CSMI,1106,63282119,63282119,227816,487,0.026,2018ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2017,18347,BC Hydro,6080,ELEC,Res,8428,99595372,99595372,358543,1006,0.055,2017ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2017,18347,BC Hydro,6080,ELEC,CSMI,1114,65039374,65039374,234142,657,0.036,2017ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2016,18284,BC Hydro,5080,ELEC,Res,8391,93211469,93211469,335561,1202,0.066,2016ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2016,18284,BC Hydro,5080,ELEC,CSMI,1114,64306648,64306648,231504,830,0.045,2016ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2015,17950,BC Hydro,4080,ELEC,Res,8302,91743010,91743010,330275,1385,0.077,2015ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2015,17950,BC Hydro,4080,ELEC,CSMI,1107,64205592,64205592,231140,970,0.054,2015ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2014,17712,BC Hydro,3080,ELEC,Res,8303,95840720,95840720,345027,2022,0.114,2014ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2014,17712,BC Hydro,3080,ELEC,CSMI,1114,65665425,65665425,236396,1386,0.078,2014ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2013,17725,BC Hydro,2580,ELEC,Res,8264,98517343,98517343,354662,2502,0.141,2013ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2013,17725,BC Hydro,2580,ELEC,CSMI,1112,66640620,66640620,239906,1693,0.095,2013ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2012,17882,BC Hydro,2080,ELEC,Res,8250,102918090,102918090,370505,3026,0.169,2012ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2012,17882,BC Hydro,2080,ELEC,CSMI,1113,70522139,70522139,253880,2073,0.116,2012ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2010,18095,BC Hydro,1080,ELEC,Res,8208,100545848,100545848,361965,2966,0.164,2010ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2010,18095,BC Hydro,1080,ELEC,CSMI,1104,71834104,71834104,258603,2119,0.117,2010ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2007,17981,BC Hydro,80,ELEC,Res,8064,103661815,103661815,373183,3058,0.170,2007ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2007,17981,BC Hydro,80,ELEC,CSMI,1095,73953804,73953804,266234,2182,0.121,2007ELECkWh,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2022,19243,Fortis Gas,11020,NG,Res,4055,229477,63743709,229477,11525,0.599,2022NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2022,19243,Fortis Gas,11020,NG,CSMI,404,976610,271280522,976610,49047,2.549,2022NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2021,18938,Fortis Gas,10020,NG,Res,3974,218319,60644228,218319,10970,0.579,2021NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2021,18938,Fortis Gas,10020,NG,CSMI,396,843722,234367172,843722,42395,2.239,2021NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2020,18767,Fortis Gas,9020,NG,Res,3761,197736,54926777,197736,9956,0.531,2020NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2020,18767,Fortis Gas,9020,NG,CSMI,393,553109,153641333,553109,27849,1.484,2020NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2019,18629,Fortis Gas,8020,NG,Res,3575,184461,51239241,184461,9288,0.499,2019NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2019,18629,Fortis Gas,8020,NG,CSMI,386,502059,139460844,502059,25279,1.357,2019NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2018,18523,Fortis Gas,7020,NG,Res,3384,168624,46840042,168624,8490,0.458,2018NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2018,18523,Fortis Gas,7020,NG,CSMI,373,546346,151762857,546346,27509,1.485,2018NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2017,18347,Fortis Gas,6020,NG,Res,3157,173023,48061873,173023,8715,0.475,2017NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2017,18347,Fortis Gas,6020,NG,CSMI,364,745965,207212453,745965,37574,2.048,2017NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2016,18284,Fortis Gas,5020,NG,Res,2992,143957,39987954,143957,7202,0.394,2016NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2016,18284,Fortis Gas,5020,NG,CSMI,357,697395,193720963,697395,34891,1.908,2016NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2015,17950,Fortis Gas,4020,NG,Res,2889,127940,35538764,127940,6358,0.354,2015NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2015,17950,Fortis Gas,4020,NG,CSMI,354,556351,154541895,556351,27650,1.540,2015NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2014,17712,Fortis Gas,3020,NG,Res,2812,150212,41725456,150212,7408,0.418,2014NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2014,17712,Fortis Gas,3020,NG,CSMI,352,460533,127925847,460533,22713,1.282,2014NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2013,17725,Fortis Gas,2520,NG,Res,2719,152792,42442282,152792,7553,0.426,2013NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2013,17725,Fortis Gas,2520,NG,CSMI,346,484739,134649840,484739,23961,1.352,2013NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2012,17882,Fortis Gas,2020,NG,Res,2691,160436,44565451,160436,7911,0.442,2012NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2012,17882,Fortis Gas,2020,NG,CSMI,332,509053,141403553,509053,25101,1.404,2012NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2010,18095,Fortis Gas,1020,NG,Res,2299,124472,34575467,124472,6184,0.342,2010NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2010,18095,Fortis Gas,1020,NG,CSMI,312,719467,199852016,719467,35743,1.975,2010NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2007,17981,Fortis Gas,20,NG,Res,2225,138277,38410278,138277,6870,0.382,2007NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2007,17981,Fortis Gas,20,NG,CSMI,321,1104035,306676294,1104035,54849,3.050,2007NGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2022,19243,Fortis RNG,11020,RNG,Res,31,296,82250,296,0,0.000,2022RNGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2022,19243,Fortis RNG,11020,RNG,CSMI,0,0,0,0,0,0.000,2022RNGGJ,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2022,19243,Estimate-Wood,11190,WOOD,Res,1,58730,16313874,58730,W,,,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2021,18938,Estimate-Wood,11190,WOOD,Res,1,58308,16196750,58308,W,,,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2020,18767,Estimate-Wood,11190,WOOD,Res,1,46155,12820943,46155,W,,,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2019,18629,Estimate-Wood,11190,WOOD,Res,1,57305,15918112,57305,W,,,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2018,18523,Estimate-Wood,11190,WOOD,Res,1,58279,16188484,58279,W,,,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2017,18347,Estimate-Wood,11190,WOOD,Res,1,62178,17271795,62178,W,,,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2016,18284,Estimate-Wood,11190,WOOD,Res,1,50687,14079730,50687,W,,,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2015,17950,Estimate-Wood,11190,WOOD,Res,1,42667,11851830,42667,W,,,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2014,17712,Estimate-Wood,11190,WOOD,Res,1,47623,13228655,47623,W,,,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2013,17725,Estimate-Wood,11190,WOOD,Res,1,53115,14754264,53115,W,,,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2012,17882,Estimate-Wood,11190,WOOD,Res,1,59293,16470228,59293,W,,,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2010,18095,Estimate-Wood,11190,WOOD,Res,1,68862,19128432,68862,W,,,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2007,17981,Estimate-Wood,11190,WOOD,Res,1,109467,30407552,109467,W,,,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2022,19243,Estimate-Heating Oil,11190,OIL,Res,1,9630,2674941,9630,W,,,1,2
Port Alberni,Alberni-Clayoquot Regional District,23008,5923008,2021,18938,Estimate-Heating Oil,11190,OIL,Res,1,12882,3578309,12882,W,,,1,2
